A=2, h=1+1, 
A=5, h=1+2, 
A=5, h=2+1, 
A=8, h=2+2, 
A=10, h=1+3, 
A=10, h=3+1, 
A=13, h=2+3, 
A=13, h=3+2, 
A=17, h=1+4, 
A=17, h=4+1, 
A=18, h=3+3, 
A=20, h=2+4, 
A=20, h=4+2, 
A=25, h=3+4, 
A=25, h=4+3, 
A=26, h=1+5, 
A=26, h=5+1, 
A=29, h=2+5, 
A=29, h=5+2, 
A=32, h=4+4, 
A=34, h=3+5, 
A=34, h=5+3, 
A=37, h=1+6, 
A=37, h=6+1, 
A=40, h=2+6, 
A=40, h=6+2, 
A=41, h=4+5, 
A=41, h=5+4, 
A=45, h=3+6, 
A=45, h=6+3, 
A=50, h=1+7, 
A=50, h=5+5, 
A=50, h=7+1, 
A=52, h=4+6, 
A=52, h=6+4, 
A=53, h=2+7, 
A=53, h=7+2, 
A=58, h=3+7, 
A=58, h=7+3, 
A=61, h=5+6, 
A=61, h=6+5, 
A=65, h=1+8, 
A=65, h=4+7, 
A=65, h=7+4, 
A=65, h=8+1, 
A=68, h=2+8, 
A=68, h=8+2, 
A=72, h=6+6, 
A=73, h=3+8, 
A=73, h=8+3, 
A=74, h=5+7, 
A=74, h=7+5, 

A=80, h=4+8, 
A=80, h=8+4, 
A=82, h=1+9, 
A=82, h=9+1, 

A=85, h=2+9, 
A=85, h=6+7, 
A=85, h=7+6, 
A=85, h=9+2, 
A=89, h=5+8, 
A=89, h=8+5, 
A=90, h=3+9, 
A=90, h=9+3, 
A=97, h=4+9, 
A=97, h=9+4, 
A=98, h=7+7, 
A=100, h=6+8, 
A=100, h=8+6, 
A=101, h=1+10, 
A=101, h=10+1, 
A=104, h=2+10, 
A=104, h=10+2, 
A=106, h=5+9, 
A=106, h=9+5, 
A=109, h=3+10, 
A=109, h=10+3, 
A=113, h=7+8, 
A=113, h=8+7, 
A=116, h=4+10, 
A=116, h=10+4, 
A=117, h=6+9, 
A=117, h=9+6, 
A=122, h=1+11, 
A=122, h=11+1, 
A=125, h=2+11, 
A=125, h=5+10, 
A=125, h=10+5, 
A=125, h=11+2, 
A=128, h=8+8, 
A=130, h=3+11, 
A=130, h=7+9, 
A=130, h=9+7, 
A=130, h=11+3, 
A=136, h=6+10, 
A=136, h=10+6, 
A=137, h=4+11, 
A=137, h=11+4, 
A=145, h=1+12, 
A=145, h=8+9, 
A=145, h=9+8, 
A=145, h=12+1, 
A=146, h=5+11, 
A=146, h=11+5, 
A=148, h=2+12, 
A=148, h=12+2, 
A=149, h=7+10, 
A=149, h=10+7, 
A=153, h=3+12, 
A=153, h=12+3, 
A=157, h=6+11, 
A=157, h=11+6, 
A=160, h=4+12, 
A=160, h=12+4, 
A=162, h=9+9, 
A=164, h=8+10, 
A=164, h=10+8, 
A=169, h=5+12, 
A=169, h=12+5, 
A=170, h=1+13, 
A=170, h=7+11, 
A=170, h=11+7, 
A=170, h=13+1, 
A=173, h=2+13, 
A=173, h=13+2, 
A=178, h=3+13, 
A=178, h=13+3, 
A=180, h=6+12, 
A=180, h=12+6, 
A=181, h=9+10, 
A=181, h=10+9, 
A=185, h=4+13, 
A=185, h=8+11, 
A=185, h=11+8, 
A=185, h=13+4, 
A=193, h=7+12, 
A=193, h=12+7, 
A=194, h=5+13, 
A=194, h=13+5, 
A=197, h=1+14, 
A=197, h=14+1, 
A=200, h=2+14, 
A=200, h=10+10, 
A=200, h=14+2, 
A=202, h=9+11, 
A=202, h=11+9, 
A=205, h=3+14, 
A=205, h=6+13, 
A=205, h=13+6, 
A=205, h=14+3, 
A=208, h=8+12, 
A=208, h=12+8, 
A=212, h=4+14, 
A=212, h=14+4, 
A=218, h=7+13, 
A=218, h=13+7, 
A=221, h=5+14, 
A=221, h=10+11, 
A=221, h=11+10, 
A=221, h=14+5, 
A=225, h=9+12, 
A=225, h=12+9, 
A=226, h=1+15, 
A=226, h=15+1, 
A=229, h=2+15, 
A=229, h=15+2, 
A=232, h=6+14, 
A=232, h=14+6, 
A=233, h=8+13, 
A=233, h=13+8, 
A=234, h=3+15, 
A=234, h=15+3, 
A=241, h=4+15, 
A=241, h=15+4, 
A=242, h=11+11, 
A=244, h=10+12, 
A=244, h=12+10, 
A=245, h=7+14, 
A=245, h=14+7, 
A=250, h=5+15, 
A=250, h=9+13, 
A=250, h=13+9, 
A=250, h=15+5, 
A=257, h=1+16, 
A=257, h=16+1, 
A=260, h=2+16, 
A=260, h=8+14, 
A=260, h=14+8, 
A=260, h=16+2, 
A=261, h=6+15, 
A=261, h=15+6, 
A=265, h=3+16, 
A=265, h=11+12, 
A=265, h=12+11, 
A=265, h=16+3, 
A=269, h=10+13, 
A=269, h=13+10, 
A=272, h=4+16, 
A=272, h=16+4, 
A=274, h=7+15, 
A=274, h=15+7, 
A=277, h=9+14, 
A=277, h=14+9, 
A=281, h=5+16, 
A=281, h=16+5, 
A=288, h=12+12, 
A=289, h=8+15, 
A=289, h=15+8, 
A=290, h=1+17, 
A=290, h=11+13, 
A=290, h=13+11, 
A=290, h=17+1, 
A=292, h=6+16, 
A=292, h=16+6, 
A=293, h=2+17, 
A=293, h=17+2, 
A=296, h=10+14, 
A=296, h=14+10, 
A=298, h=3+17, 
A=298, h=17+3, 
