A=3, h=1+1+1, 
A=6, h=1+1+2, 
A=6, h=1+2+1, 
A=6, h=2+1+1, 
A=9, h=1+2+2, 
A=9, h=2+1+2, 
A=9, h=2+2+1, 
A=11, h=1+1+3, 
A=11, h=1+3+1, 
A=11, h=3+1+1, 
A=12, h=2+2+2, 
A=14, h=1+2+3, 
A=14, h=1+3+2, 
A=14, h=2+1+3, 
A=14, h=2+3+1, 
A=14, h=3+1+2, 
A=14, h=3+2+1, 
A=17, h=2+2+3, 
A=17, h=2+3+2, 
A=17, h=3+2+2, 
A=18, h=1+1+4, 
A=18, h=1+4+1, 
A=18, h=4+1+1, 
A=19, h=1+3+3, 
A=19, h=3+1+3, 
A=19, h=3+3+1, 
A=21, h=1+2+4, 
A=21, h=1+4+2, 
A=21, h=2+1+4, 
A=21, h=2+4+1, 
A=21, h=4+1+2, 
A=21, h=4+2+1, 
A=22, h=2+3+3, 
A=22, h=3+2+3, 
A=22, h=3+3+2, 
A=24, h=2+2+4, 
A=24, h=2+4+2, 
A=24, h=4+2+2, 
A=26, h=1+3+4, 
A=26, h=1+4+3, 
A=26, h=3+1+4, 
A=26, h=3+4+1, 
A=26, h=4+1+3, 
A=26, h=4+3+1, 
A=27, h=1+1+5, 
A=27, h=1+5+1, 
A=27, h=3+3+3, 
A=27, h=5+1+1, 
A=29, h=2+3+4, 
A=29, h=2+4+3, 
A=29, h=3+2+4, 
A=29, h=3+4+2, 
A=29, h=4+2+3, 
A=29, h=4+3+2, 
A=30, h=1+2+5, 
A=30, h=1+5+2, 
A=30, h=2+1+5, 
A=30, h=2+5+1, 
A=30, h=5+1+2, 
A=30, h=5+2+1, 
A=33, h=1+4+4, 
A=33, h=2+2+5, 
A=33, h=2+5+2, 
A=33, h=4+1+4, 
A=33, h=4+4+1, 
A=33, h=5+2+2, 
A=34, h=3+3+4, 
A=34, h=3+4+3, 
A=34, h=4+3+3, 
A=35, h=1+3+5, 
A=35, h=1+5+3, 
A=35, h=3+1+5, 
A=35, h=3+5+1, 
A=35, h=5+1+3, 
A=35, h=5+3+1, 
A=36, h=2+4+4, 
A=36, h=4+2+4, 
A=36, h=4+4+2, 
A=38, h=1+1+6, 
A=38, h=1+6+1, 
A=38, h=2+3+5, 
A=38, h=2+5+3, 
A=38, h=3+2+5, 
A=38, h=3+5+2, 
A=38, h=5+2+3, 
A=38, h=5+3+2, 
A=38, h=6+1+1, 
A=41, h=1+2+6, 
A=41, h=1+6+2, 
A=41, h=2+1+6, 
A=41, h=2+6+1, 
A=41, h=3+4+4, 
A=41, h=4+3+4, 
A=41, h=4+4+3, 
A=41, h=6+1+2, 
A=41, h=6+2+1, 
A=42, h=1+4+5, 
A=42, h=1+5+4, 
A=42, h=4+1+5, 
A=42, h=4+5+1, 
A=42, h=5+1+4, 
A=42, h=5+4+1, 
A=43, h=3+3+5, 
A=43, h=3+5+3, 
A=43, h=5+3+3, 
A=44, h=2+2+6, 
A=44, h=2+6+2, 
A=44, h=6+2+2, 
A=45, h=2+4+5, 
A=45, h=2+5+4, 
A=45, h=4+2+5, 
A=45, h=4+5+2, 
A=45, h=5+2+4, 
A=45, h=5+4+2, 
A=46, h=1+3+6, 
A=46, h=1+6+3, 
A=46, h=3+1+6, 
A=46, h=3+6+1, 
A=46, h=6+1+3, 
A=46, h=6+3+1, 
A=48, h=4+4+4, 
A=49, h=2+3+6, 
A=49, h=2+6+3, 
A=49, h=3+2+6, 
A=49, h=3+6+2, 
A=49, h=6+2+3, 
A=49, h=6+3+2, 
A=50, h=3+4+5, 
A=50, h=3+5+4, 
A=50, h=4+3+5, 
A=50, h=4+5+3, 
A=50, h=5+3+4, 
A=50, h=5+4+3, 
A=51, h=1+1+7, 
A=51, h=1+5+5, 
A=51, h=1+7+1, 
A=51, h=5+1+5, 
A=51, h=5+5+1, 
A=51, h=7+1+1, 
A=53, h=1+4+6, 
A=53, h=1+6+4, 
A=53, h=4+1+6, 
A=53, h=4+6+1, 
A=53, h=6+1+4, 
A=53, h=6+4+1, 
A=54, h=1+2+7, 
A=54, h=1+7+2, 
A=54, h=2+1+7, 
A=54, h=2+5+5, 
A=54, h=2+7+1, 
A=54, h=3+3+6, 
A=54, h=3+6+3, 
A=54, h=5+2+5, 
A=54, h=5+5+2, 
A=54, h=6+3+3, 
A=54, h=7+1+2, 
A=54, h=7+2+1, 
A=56, h=2+4+6, 
A=56, h=2+6+4, 
A=56, h=4+2+6, 
A=56, h=4+6+2, 
A=56, h=6+2+4, 
A=56, h=6+4+2, 
A=57, h=2+2+7, 
A=57, h=2+7+2, 
A=57, h=4+4+5, 
A=57, h=4+5+4, 
A=57, h=5+4+4, 
A=57, h=7+2+2, 
A=59, h=1+3+7, 
A=59, h=1+7+3, 
A=59, h=3+1+7, 
A=59, h=3+5+5, 
A=59, h=3+7+1, 
A=59, h=5+3+5, 
A=59, h=5+5+3, 
A=59, h=7+1+3, 
A=59, h=7+3+1, 
A=61, h=3+4+6, 
A=61, h=3+6+4, 
A=61, h=4+3+6, 
A=61, h=4+6+3, 
A=61, h=6+3+4, 
A=61, h=6+4+3, 
A=62, h=1+5+6, 
A=62, h=1+6+5, 
A=62, h=2+3+7, 
A=62, h=2+7+3, 
A=62, h=3+2+7, 
A=62, h=3+7+2, 
A=62, h=5+1+6, 
A=62, h=5+6+1, 
A=62, h=6+1+5, 
A=62, h=6+5+1, 
A=62, h=7+2+3, 
A=62, h=7+3+2, 
A=65, h=2+5+6, 
A=65, h=2+6+5, 
A=65, h=5+2+6, 
A=65, h=5+6+2, 
A=65, h=6+2+5, 
A=65, h=6+5+2, 
A=66, h=1+1+8, 
A=66, h=1+4+7, 
A=66, h=1+7+4, 
A=66, h=1+8+1, 
A=66, h=4+1+7, 
A=66, h=4+5+5, 
A=66, h=4+7+1, 
A=66, h=5+4+5, 
A=66, h=5+5+4, 
A=66, h=7+1+4, 
A=66, h=7+4+1, 
A=66, h=8+1+1, 
A=67, h=3+3+7, 
A=67, h=3+7+3, 
A=67, h=7+3+3, 
A=68, h=4+4+6, 
A=68, h=4+6+4, 
A=68, h=6+4+4, 
A=69, h=1+2+8, 
A=69, h=1+8+2, 
A=69, h=2+1+8, 
A=69, h=2+4+7, 
A=69, h=2+7+4, 
A=69, h=2+8+1, 
A=69, h=4+2+7, 
A=69, h=4+7+2, 
A=69, h=7+2+4, 
A=69, h=7+4+2, 
A=69, h=8+1+2, 
A=69, h=8+2+1, 
A=70, h=3+5+6, 
A=70, h=3+6+5, 
A=70, h=5+3+6, 
A=70, h=5+6+3, 
A=70, h=6+3+5, 
A=70, h=6+5+3, 
A=72, h=2+2+8, 
A=72, h=2+8+2, 
A=72, h=8+2+2, 
A=73, h=1+6+6, 
A=73, h=6+1+6, 
A=73, h=6+6+1, 
A=74, h=1+3+8, 
A=74, h=1+8+3, 
A=74, h=3+1+8, 
A=74, h=3+4+7, 
A=74, h=3+7+4, 
A=74, h=3+8+1, 
A=74, h=4+3+7, 
A=74, h=4+7+3, 
A=74, h=7+3+4, 
A=74, h=7+4+3, 
A=74, h=8+1+3, 
A=74, h=8+3+1, 
A=75, h=1+5+7, 
A=75, h=1+7+5, 
A=75, h=5+1+7, 
A=75, h=5+5+5, 
A=75, h=5+7+1, 
A=75, h=7+1+5, 
A=75, h=7+5+1, 
A=76, h=2+6+6, 
A=76, h=6+2+6, 
A=76, h=6+6+2, 
A=77, h=2+3+8, 
A=77, h=2+8+3, 
A=77, h=3+2+8, 
A=77, h=3+8+2, 
A=77, h=4+5+6, 
A=77, h=4+6+5, 
A=77, h=5+4+6, 
A=77, h=5+6+4, 
